kx,ky,kz,g0,g1,p0,p1,Real,Imaginary
0,0,0,0,0,0,0,1.0,-0.0
0,0,0,0,0,0,0,1.0,0.0
0,0,0,0,0,0,0.1,1.0,0.0
0,0,0,0,0,0,0.1,0.9,-0.0
0,0,0,0,0,0.1,0,0.9,-0.0
0,0,0,0,0,0.1,0,1.0,0.0
0,0,0,0,0,0.1,0.1,0.9,-0.0
0,0,0,0,0,0.1,0.1,0.9,0.0
0,0,0,0,2500000.0,0,0,0.9955975,0.0005928
0,0,0,0,2500000.0,0,0,0.8780096,-4e-06
0,0,0,0,2500000.0,0,0.1,0.9955975,0.0005928
0,0,0,0,2500000.0,0,0.1,0.7902086,-3.6e-06
0,0,0,0,2500000.0,0.1,0,0.8960377,0.0005335
0,0,0,0,2500000.0,0.1,0,0.8780096,-4e-06
0,0,0,0,2500000.0,0.1,0.1,0.8960377,0.0005335
0,0,0,0,2500000.0,0.1,0.1,0.7902086,-3.6e-06
0,0,0,2500000.0,0,0,0,0.8780025,4e-06
0,0,0,2500000.0,0,0,0,0.9954727,0.0005484
0,0,0,2500000.0,0,0,0.1,0.8780026,4e-06
0,0,0,2500000.0,0,0,0.1,0.8959254,0.0004936
0,0,0,2500000.0,0,0.1,0,0.7902023,3.6e-06
0,0,0,2500000.0,0,0.1,0,0.9954727,0.0005484
0,0,0,2500000.0,0,0.1,0.1,0.7902023,3.6e-06
0,0,0,2500000.0,0,0.1,0.1,0.8959254,0.0004936
0,0,0,2500000.0,2500000.0,0,0,0.8740563,0.000527
0,0,0,2500000.0,2500000.0,0,0,0.8739656,0.0004845
0,0,0,2500000.0,2500000.0,0,0.1,0.8740564,0.000527
0,0,0,2500000.0,2500000.0,0,0.1,0.7865691,0.000436
0,0,0,2500000.0,2500000.0,0.1,0,0.7866507,0.0004743
0,0,0,2500000.0,2500000.0,0.1,0,0.8739657,0.0004845
0,0,0,2500000.0,2500000.0,0.1,0.1,0.7866507,0.0004743
0,0,0,2500000.0,2500000.0,0.1,0.1,0.7865691,0.000436
0,0,1,0,0,0,0,0.1234131,-0.0007085
0,0,1,0,0,0,0,0.115857,0.0021313
0,0,1,0,0,0,0.1,0.1397947,-0.000357
0,0,1,0,0,0,0.1,0.1045045,0.0018939
0,0,1,0,0,0.1,0,0.1112104,-0.0006858
0,0,1,0,0,0.1,0,0.1332465,0.0022043
0,0,1,0,0,0.1,0.1,0.1258849,-0.0003462
0,0,1,0,0,0.1,0.1,0.1200282,0.0019638
0,0,1,0,2500000.0,0,0,0.0895368,-0.0466121
0,0,1,0,2500000.0,0,0,0.1627915,0.0009812
0,0,1,0,2500000.0,0,0.1,0.0962093,-0.0378753
0,0,1,0,2500000.0,0,0.1,0.1465586,0.000876
0,0,1,0,2500000.0,0.1,0,0.0805622,-0.0419303
0,0,1,0,2500000.0,0.1,0,0.1785936,0.0009735
0,0,1,0,2500000.0,0.1,0.1,0.0865538,-0.0340419
0,0,1,0,2500000.0,0.1,0.1,0.1607607,0.0008716
0,0,1,2500000.0,0,0,0,0.1654073,-0.000153
0,0,1,2500000.0,0,0,0,0.0927546,0.0523447
0,0,1,2500000.0,0,0,0.1,0.1807346,-1.94e-05
0,0,1,2500000.0,0,0,0.1,0.0834422,0.0470955
0,0,1,2500000.0,0,0.1,0,0.1489036,-0.0001517
0,0,1,2500000.0,0,0.1,0,0.1000527,0.0449945
0,0,1,2500000.0,0,0.1,0.1,0.1626832,-2.6e-05
0,0,1,2500000.0,0,0.1,0.1,0.0900062,0.040465
0,0,1,2500000.0,2500000.0,0,0,0.1384381,-9.06e-05
0,0,1,2500000.0,2500000.0,0,0,0.1327522,0.0012865
0,0,1,2500000.0,2500000.0,0,0.1,0.1581343,9.42e-05
0,0,1,2500000.0,2500000.0,0,0.1,0.119561,0.0011471
0,0,1,2500000.0,2500000.0,0.1,0,0.1246537,-9.92e-05
0,0,1,2500000.0,2500000.0,0.1,0,0.1545462,0.0011781
0,0,1,2500000.0,2500000.0,0.1,0.1,0.1423498,7.57e-05
0,0,1,2500000.0,2500000.0,0.1,0.1,0.1391256,0.001055
0,0,2,0,0,0,0,0.6848038,0.0002622
0,0,2,0,0,0,0,0.6850781,0.0002315
0,0,2,0,0,0,0.1,0.6965608,0.0002428
0,0,2,0,0,0,0.1,0.6165705,0.0002082
0,0,2,0,0,0.1,0,0.6163236,0.0002359
0,0,2,0,0,0.1,0,0.6968308,0.0002272
0,0,2,0,0,0.1,0.1,0.6269049,0.0002184
0,0,2,0,0,0.1,0.1,0.6271478,0.0002044
0,0,2,0,2500000.0,0,0,0.6773898,0.00073
0,0,2,0,2500000.0,0,0,0.6201868,0.0002669
0,0,2,0,2500000.0,0,0.1,0.6894765,0.0007026
0,0,2,0,2500000.0,0,0.1,0.5581683,0.0002402
0,0,2,0,2500000.0,0.1,0,0.6096509,0.0006569
0,0,2,0,2500000.0,0.1,0,0.6296011,0.0002585
0,0,2,0,2500000.0,0.1,0.1,0.620529,0.0006323
0,0,2,0,2500000.0,0.1,0.1,0.5666411,0.0002326
0,0,2,2500000.0,0,0,0,0.6200265,0.0002585
0,0,2,2500000.0,0,0,0,0.6775712,0.0006627
0,0,2,2500000.0,0,0,0.1,0.6294405,0.0002387
0,0,2,2500000.0,0,0,0.1,0.6098142,0.0005963
0,0,2,2500000.0,0,0.1,0,0.5580241,0.0002325
0,0,2,2500000.0,0,0.1,0,0.6896519,0.0006512
0,0,2,2500000.0,0,0.1,0.1,0.5664966,0.0002148
0,0,2,2500000.0,0,0.1,0.1,0.6206868,0.000586
0,0,2,2500000.0,2500000.0,0,0,0.6141412,0.000664
