J,g0,g1,Re(p),Im(p),Re(a),Im(a),Count
0,0,0,1.0000000000000004,0.0,0.4999999999999963,-3.1485779052071663e-18,5
0.7,0,0,1.0000003025858148,0.0,0.49902521343018014,3.1399442735261623e-18,5
0.7,0,0,0.2075318464696464,0.8161967803846155,8.370143066128814e-05,-3.552280627428829e-06,5
0.7,0,0,0.2075318464696464,-0.8161967803846155,8.370143066138529e-05,3.552280627525106e-06,5
0.7,0,0,-0.8201934116167832,0.0,7.545037531765057e-05,-6.871196115449314e-18,5
0.9,0,0,0.9999992629393746,0.0,0.4983775494973886,1.562108349703018e-18,5
0.9,0,0,-0.4579546074140294,0.0,-0.0004990616093575248,3.821355369816353e-18,5
0.9,0,0,0.3866204753070568,0.9138647069753184,-3.8218136254108276e-05,1.1481186369208946e-06,5
0.9,0,0,0.3866204753070568,-0.9138647069753184,-3.821813625408399e-05,-1.148118636905282e-06,5
1,0,0,0.9999982848155895,0.0,0.497982931047324,7.521364860504516e-19,5
1,0,0,0.4909161706514696,0.7188255901967268,-3.5725272126848305e-05,9.88016433835573e-07,5
1,0,0,0.4909161706514696,-0.7188255901967268,-3.572527212682749e-05,-9.880164339032271e-07,5
1,0,0,0.7718694008241817,0.0,8.7141693908388e-05,-1.0683196248134981e-17,5
2,0,0,1.0000199492193722,0.0,0.4919244834129811,3.650351916892505e-19,5
2,0,0,0.06266429587640862,0.0,-0.00600521773972057,-1.3603652362798153e-17,5
2,0,0,-0.9263334384330507,0.4828642653181438,-3.2849539848234634e-05,6.410057934152537e-05,5
2,0,0,-0.9263334384330507,-0.4828642653181438,-3.284953984822726e-05,-6.41005793415271e-05,5
4,0,0,0.9999889628585893,0.0,0.4696749383807984,-1.3511960806048805e-18,5
4,0,0,0.5588730225743934,0.0,-0.0017591753109579486,5.701557005268602e-17,5
4,0,0,-0.4765717750718247,0.6200254742778143,0.0008201765285535956,-0.0007594366010847866,5
4,0,0,-0.4765717750718247,-0.6200254742778143,0.0008201765285534932,0.0007594366010849167,5
5,0,0,0.9999762902567506,0.0,0.45453812821940764,-1.2457846824867573e-19,5
5,0,0,-0.15112174586215496,0.8917507556308181,0.0008377677112447624,0.001373464822247223,5
5,0,0,-0.15112174586215496,-0.8917507556308181,0.0008377677112447798,-0.0013734648222471827,5
5,0,0,-0.16289537705766238,0.0,-0.02022514669211367,-5.499781933682068e-19,5
6,0,0,0.9999579195929026,0.0,0.43670158263526826,7.253986325432933e-18,5
6,0,0,0.22136141254291533,0.5105568305448978,0.00090368333945684,-0.004808902927478927,5
6,0,0,0.22136141254291533,-0.5105568305448978,0.000903683339457291,0.004808902927480086,5
6,0,0,-0.6251264882883956,0.0,0.0009736481650136509,3.676429659914411e-18,5
8,0,0,0.9999524291803885,0.0,0.39802902424640985,-6.867785433667761e-20,5
8,0,0,-0.9529075540931354,0.0,-0.0024550570925084385,-5.3685202775795e-18,5
8,0,0,0.32037429315747745,0.9153476783733492,0.001375067636151345,0.00016868099583721222,5
8,0,0,0.32037429315747745,-0.9153476783733492,0.0013750676361513406,-0.00016868099583720528,5
10,0,0,0.9999020821580775,0.0,0.35652341426802947,5.969613601087712e-19,5
10,0,0,-0.42600093571203435,0.0,-0.03783399865493437,-1.5140095807286467e-17,5
10,0,0,0.5915666228259,0.7146167963332019,0.0020348067068707704,0.00366137046012457,5
10,0,0,0.5915666228259,-0.7146167963332019,0.002034806706870793,-0.0036613704601245467,5
12,0,0,0.9997593163689628,0.0,0.316956623168893,-7.108135237246539e-19,5
12,0,0,-0.4461991699418693,0.0,-0.09082352940141791,-9.007137557725464e-17,5
12,0,0,0.40139124754662386,0.8766561325536911,0.00010842901370203154,-0.004449695542727852,5
12,0,0,0.40139124754662386,-0.8766561325536911,0.00010842901370205631,0.004449695542727839,5
15,0,0,1.0004515785225445,0.0,0.2574327376905447,1.2537290103172426e-19,5
15,0,0,0.26389917417090103,0.4944083748278274,0.10016824849219798,-0.030056777804415232,5
15,0,0,0.26389917417090103,-0.4944083748278274,0.10016824849219812,0.03005677780441539,5
15,0,0,-0.9744203110957322,0.0,-0.0024796788780440428,-3.196614851165702e-18,5
20,0,0,1.0021033790502027,0.0,0.1840852445813977,-6.4724434666992544e-18,5
20,0,0,0.6652337530107226,0.46499219719464363,0.1612999009559678,-0.0109008855300512,5
20,0,0,0.6652337530107226,-0.46499219719464363,0.16129990095596763,0.010900885530051092,5
20,0,0,-0.3127668987599025,0.0,0.02311672267630581,1.8750230190697166e-17,5
0,0,0.7,1.0000000000000004,0.0,0.4999999999999963,-3.1485779052071663e-18,5
0.7,0,0.7,0.9998564664448619,0.0,0.499029857587728,-2.210257406714024e-19,5
0.7,0,0.7,0.1209210672502956,0.0,0.0007246406099579992,1.20649306357804e-16,5
0.7,0,0.7,-0.08609414854030137,0.9509142063390147,1.0566270082487672e-05,-1.9398578985857853e-05,5
0.7,0,0.7,-0.08609414854030137,-0.9509142063390147,1.0566270082497213e-05,1.939857898585612e-05,5
0.9,0,0.7,0.9997748211023338,0.0,0.49835940815924334,6.957838780763091e-19,5
0.9,0,0.7,-0.5438559237234264,0.8347857905094276,1.830125823796755e-05,-2.813447106887225e-05,5
0.9,0,0.7,-0.5438559237234264,-0.8347857905094276,1.8301258237991835e-05,2.8134471068889597e-05,5
1,0,0.7,0.9997267528649849,0.0,0.49793088691845033,-1.0938925429076678e-20,5
1,0,0.7,0.29201988374448024,0.0,0.0009504863496462498,-5.286234654066691e-18,5
1,0,0.7,-0.886725506736863,0.5271950491417565,1.943986188617658e-05,-1.5154768063775637e-05,5
1,0,0.7,-0.886725506736863,-0.5271950491417565,1.9439861886174845e-05,1.5154768063759374e-05,5
2,0,0.7,0.9988530186011552,0.0,0.49236587215741956,1.94247378040023e-18,5
2,0,0.7,0.18144511927286988,0.5088535829528797,0.0018337877071507632,-0.0001343528219685218,5
2,0,0.7,0.18144511927286988,-0.5088535829528797,0.001833787707150882,0.00013435282196816098,5
2,0,0.7,-0.9553672288159515,0.0,0.0001235139225896128,-4.01690638600453e-18,5
4,0,0.7,0.9957616299441138,0.0,0.4699955222547629,-1.171782729999875e-19,5
4,0,0.7,0.030309514180836217,0.8476978983763298,0.0013655107753012003,-0.0006214189136599932,5
4,0,0.7,0.030309514180836217,-0.8476978983763298,0.0013655107753011639,0.0006214189136599529,5
4,0,0.7,-0.7602050835104376,0.0,-0.0001342254452319884,5.052050284583917e-18,5
5,0,0.7,0.993663665881732,0.0,0.453715841863413,-1.0407649451881996e-18,5
5,0,0.7,-0.5386963672361025,0.6639826230157198,-0.001911710370984949,-0.0005991368776901481,5
5,0,0.7,-0.5386963672361025,-0.6639826230157198,-0.0019117103709850184,0.0005991368776901221,5
5,0,0.7,0.6504520467922625,0.0,0.00432151271204885,4.02790535166984e-18,5
6,0,0.7,-0.2251348312939208,0.7922239012637966,-0.0013792301386508976,-0.002555813697018047,5
6,0,0.7,-0.2251348312939208,-0.7922239012637966,-0.0013792301386512142,0.0025558136970181633,5
6,0,0.7,0.9912484046231074,0.0,0.43594115957458257,1.711176466015011e-17,5
6,0,0.7,0.7075242838194978,0.0,0.0024146706163591727,2.022947479329884e-16,5
8,0,0.7,0.985843049372318,0.0,0.3973927720597345,3.6304684899349e-19,5
8,0,0.7,-0.5606451936413142,0.0,-0.011781321472228296,4.778351150306329e-18,5
8,0,0.7,0.6738698238853965,0.6874744877592137,-0.0005077831156467664,0.0011182497413264499,5
8,0,0.7,0.6738698238853965,-0.6874744877592137,-0.0005077831156467816,-0.001118249741326455,5
10,0,0.7,0.9801258779836987,0.0,0.3566353808107177,-1.1134135861447482e-18,5
