J,g0,g1,Re(p),Im(p),Re(a),Im(a),Count
100,100,100,0.9989179492083586,0.0,0.170237680236254,1.5335183430576146e-19,5
100,100,100,-0.9619419300893022,0.0,-0.0006331388382099278,1.6997939479290518e-18,5
100,100,100,-0.403658734676836,0.901854151758221,0.0014073266328366138,0.003271235690812397,5
100,100,100,-0.403658734676836,-0.901854151758221,0.0014073266328366134,-0.003271235690812384,5
10,100,100,-0.5840903005300515,0.741596208115585,0.0002132619499268459,0.0011670041184115754,5
10,100,100,-0.5840903005300515,-0.741596208115585,0.00021326194992684255,-0.0011670041184115504,5
10,100,100,0.9956392919721704,0.0,0.04139198581617491,1.906644544335031e-18,5
10,100,100,0.8890434930116629,0.0,0.0006143794001084446,1.2578280230440555e-18,5
7,100,100,0.9921861573316402,0.0,0.04171291776379085,-3.147197787845143e-20,5
7,100,100,0.6489479970931537,0.0,0.002075418357168954,-1.5373892165858305e-19,5
7,100,100,-0.2715154494040424,0.9186829196428626,0.000578598409553152,-0.00045068811659275886,5
7,100,100,-0.2715154494040424,-0.9186829196428626,0.0005785984095531476,0.0004506881165927589,5
5,100,100,0.9843251186966964,0.0,0.04102236478230688,7.177855427706034e-21,5
5,100,100,-0.7755164325652414,0.0,0.0007173737308960619,2.6258695361474193e-19,5
5,100,100,-0.32503643837771856,0.8508140773278203,0.0007489380960551909,-0.0006066740868704937,5
5,100,100,-0.32503643837771856,-0.8508140773278203,0.0007489380960551888,0.0006066740868704908,5
2,100,100,0.9156309633368247,0.0,0.039721111746082526,7.0949029560705425e-19,5
2,100,100,-0.3397384225764081,0.0,0.008376021322407947,6.194095271826806e-18,5
2,100,100,0.2861197480422641,0.7885159398085277,0.0006600811579541313,-0.0007078400608961857,5
2,100,100,0.2861197480422641,-0.7885159398085277,0.0006600811579541315,0.0007078400608961831,5
1,100,100,0.7920126378211255,0.0,0.029386723333582894,-4.802498890504133e-19,5
1,100,100,-0.5848386238248832,0.0,0.002722720116425569,-5.527602544562107e-19,5
1,100,100,0.3631556135762897,0.8516315125923877,0.0001310286427642998,-0.0005658300667069107,5
1,100,100,0.3631556135762897,-0.8516315125923877,0.00013102864276429916,0.0005658300667069107,5
100,100,10,0.9997069180689039,0.0,0.041660391043347574,-6.184029906844825e-20,5
100,100,10,-0.6374753779952272,0.7125073698563802,-0.0004118057189903832,-0.0009404304581880083,5
100,100,10,-0.6374753779952272,-0.7125073698563802,-0.00041180571899038286,0.0009404304581880037,5
100,100,10,-0.959306736982787,0.0,0.0008382479662868839,2.4913282274051773e-19,5
10,100,10,-0.4650575149455638,0.0,-0.0034743394996526026,-3.212160625997762e-18,5
10,100,10,0.9956354876882757,0.0,0.04159500367201051,-3.3596482775364072e-18,5
10,100,10,0.7372045407666512,0.6216505372894846,-0.0004417456557942929,0.0006706641368270672,5
10,100,10,0.7372045407666512,-0.6216505372894846,-0.00044174565579431166,-0.0006706641368270752,5
7,100,10,-0.06300400740207635,0.6063915828787388,-0.004381083540970904,-0.0002509769491342269,5
7,100,10,-0.06300400740207635,-0.6063915828787388,-0.004381083540970889,0.00025097694913420285,5
7,100,10,0.994273269418483,0.0,0.03972948270195106,-4.060762955128049e-18,5
7,100,10,0.7237803725969493,0.0,-0.000505695518313757,-2.4470894219241285e-19,5
5,100,10,0.9823879154826701,0.0,0.041071887202344066,-5.147174435359026e-20,5
5,100,10,-0.5524859867296831,0.0,-0.0040828974293321925,-2.9993171510307908e-18,5
5,100,10,0.6076364811127324,0.728910546046345,0.00014094340466825597,0.00019503114503920398,5
5,100,10,0.6076364811127324,-0.728910546046345,0.0001409434046682576,-0.00019503114503920246,5
2,100,10,0.9123825649202818,0.0,0.036606922837052906,7.976526100883958e-19,5
2,100,10,-0.518390788012564,0.680777268188037,-0.0019425379323271975,0.0003524352931031037,5
2,100,10,-0.518390788012564,-0.680777268188037,-0.0019425379323271975,-0.0003524352931030994,5
2,100,10,0.4239770531398899,0.0,-0.0007810423877458362,-3.715544514319213e-18,5
1,100,10,0.7767358809331263,0.0,0.029796431678250683,-1.7269347744190588e-19,5
1,100,10,-0.42989345594397094,0.5629657557399725,-0.002669195614840996,-0.0024861687500850704,5
1,100,10,-0.42989345594397094,-0.5629657557399725,-0.0026691956148409976,0.002486168750085072,5
1,100,10,-0.21239256707238907,0.0,0.029372858712181153,-1.813253536770601e-18,5
100,100,7,1.0010868800726018,0.0,0.041301515982995946,-3.704753266865936e-20,5
100,100,7,0.4098609201832496,0.9436227612546905,-0.0003055655130057604,0.0004950825530924814,5
100,100,7,0.4098609201832496,-0.9436227612546905,-0.0003055655130057602,-0.0004950825530924802,5
100,100,7,-0.6688089566847448,0.0,-0.0010622831434826873,-6.34543002324549e-19,5
10,100,7,0.9954445937382762,0.0,0.041739611942318476,-4.65947016138519e-20,5
10,100,7,-0.26866050184867774,0.9762898317820495,0.0002604236043279918,2.223882262752886e-05,5
10,100,7,-0.26866050184867774,-0.9762898317820495,0.00026042360432799094,-2.2238822627530364e-05,5
10,100,7,-0.7380622574634773,0.0,-0.00123098972743369,-3.952635109289333e-19,5
7,100,7,0.9904624939181397,0.0,0.042177284639262826,-1.6354828639940768e-20,5
7,100,7,0.3226525842203344,0.7769990693759632,0.001420211593424544,-0.0021895795477491604,5
7,100,7,0.3226525842203344,-0.7769990693759632,0.0014202115934245354,0.002189579547749179,5
7,100,7,-0.10733943027657969,0.0,0.05351945772105947,5.8352826427883295e-19,5
5,100,7,0.9835177763059016,0.0,0.040572777071184334,-9.00800607332961e-19,5
5,100,7,0.099593945274197,0.0,0.0573591721684167,1.5306509531751083e-16,5
5,100,7,-0.00786740956234215,0.9821943748765609,0.00040322521060096446,0.0003458900116738194,5
5,100,7,-0.00786740956234215,-0.9821943748765609,0.0004032252106009718,-0.00034589001167381985,5
2,100,7,0.905153817193453,0.0,0.03802149975842298,-3.755293085068387e-19,5
2,100,7,-0.14735383630383073,0.0,-0.04507619450149436,-1.852587556545915e-17,5
2,100,7,-1.3562674499590678e-05,0.6945866704206574,-0.0010157593060958414,0.003785417867784206,5
2,100,7,-1.3562674499590678e-05,-0.6945866704206574,-0.0010157593060958366,-0.0037854178677842096,5
1,100,7,0.729278843017988,0.0,0.03280989345287753,1.4618680263172098e-18,5
1,100,7,0.33867115548646226,0.7164136279042966,0.0003686686840868302,0.0009517260164642368,5
1,100,7,0.33867115548646226,-0.7164136279042966,0.00036866868408683265,-0.0009517260164642381,5
1,100,7,-0.6552431601210408,0.0,0.001081356893717777,-1.0293111643199369e-18,5
100,100,5,1.0003366509036253,0.0,0.04092859066921739,-2.829893608682477e-19,5
100,100,5,-0.3087415143560178,0.6988266862360264,-0.0014037583967579103,0.0008627015663768363,5
100,100,5,-0.3087415143560178,-0.6988266862360264,-0.0014037583967579218,-0.0008627015663768465,5
100,100,5,-0.8469498444199796,0.0,0.00039014590984943944,9.962983515700142e-19,5
10,100,5,0.9987038353803909,0.0,0.03952830565624902,2.341830456513091e-20,5
10,100,5,0.0636610368980035,0.8813104622484417,-0.0016791670563601816,0.00046277723898087284,5
10,100,5,0.0636610368980035,-0.8813104622484417,-0.001679167056360182,-0.00046277723898086964,5
10,100,5,-0.9600244191304824,0.0,-0.0008082995814492028,-2.0586549737369575e-19,5
7,100,5,0.9911817511100313,0.0,0.04114608442966707,1.4886846337768794e-18,5
7,100,5,-0.008931479726468839,0.0,-0.4030059047764478,3.791820398802409e-15,5
7,100,5,-0.8490044899953721,0.2234406240719953,-0.0013485958785571935,0.0014576599960792924,5
7,100,5,-0.8490044899953721,-0.2234406240719953,-0.0013485958785571864,-0.001457659996079275,5
5,100,5,0.9817059542091451,0.0,0.04099724954397153,1.784221826339969e-19,5
5,100,5,-0.20061812510469884,0.8550362828869477,-0.002190372309081818,-0.00031457502052530627,5
5,100,5,-0.20061812510469884,-0.8550362828869477,-0.0021903723090818178,0.0003145750205253171,5
5,100,5,-0.41072338737412123,0.0,-0.00210846302099478,1.1442089365957012e-19,5
2,100,5,0.896229034123883,0.0,0.041370916957662915,1.7064304263047215e-18,5
2,100,5,0.5752767774523293,0.6936927725454911,0.0010064311053813104,0.0004955149700379368,5
2,100,5,0.5752767774523293,-0.6936927725454911,0.001006431105381317,-0.0004955149700379355,5
2,100,5,-0.5890622690619389,0.0,-5.723408427872592e-05,-5.629094425361123e-20,5
1,100,5,-0.45134505282129506,0.16528903142907797,-0.0027541558077643063,0.003313783055601399,5
1,100,5,-0.45134505282129506,-0.16528903142907797,-0.0027541558077643392,-0.003313783055601399,5
1,100,5,0.7325470217476915,0.0,0.032999792926340074,2.685577082855606e-18,5
1,100,5,0.4188613464064838,0.0,-0.004420638787044109,-1.6164301855658248e-17,5
100,100,2,1.0000756317178428,0.0,0.04202327365776513,4.2597984600442387e-20,5
100,100,2,-0.5621332347802313,0.5713963770426083,0.0015612521691237126,0.004241524696912686,5
100,100,2,-0.5621332347802313,-0.5713963770426083,0.0015612521691237074,-0.004241524696912695,5
100,100,2,-0.60980054728295,0.0,-0.006721179635523309,3.133101015743927e-19,5
10,100,2,-0.07421161110147523,0.9720471446163639,0.0008406317598693932,0.0005490882881499534,5
10,100,2,-0.07421161110147523,-0.9720471446163639,0.0008406317598693847,-0.0005490882881499476,5
10,100,2,0.9903848988714974,0.0,0.048793852151554996,1.4231032844620022e-18,5
10,100,2,0.9435191205114575,0.0,-0.0072641335142414505,-9.369703620196296e-18,5
7,100,2,0.9889121866331255,0.0,0.042038002279732416,1.6656587909464194e-19,5
7,100,2,-0.8040830438501739,0.0,-0.004672541453116545,7.192064695678447e-18,5
7,100,2,0.34137482338589287,0.5655405746715757,-0.0026757798418605054,0.0011739219125627344,5
7,100,2,0.34137482338589287,-0.5655405746715757,-0.002675779841860506,-0.0011739219125626993,5
5,100,2,0.980062606792231,0.0,0.041664723813049406,1.3211833610614213e-19,5
5,100,2,0.6309977867041504,0.0,-0.002586894118374672,-1.5511610893871182e-19,5
5,100,2,-0.8614820401755303,0.4742069708901993,-0.0005248906423859551,-0.000796582508775279,5
5,100,2,-0.8614820401755303,-0.4742069708901993,-0.0005248906423859613,0.0007965825087752823,5
2,100,2,0.8859123632580981,0.0,0.040964194740864546,-8.0478478389113e-20,5
2,100,2,-0.45673457730521777,0.6582319895054627,0.0022959782832841576,0.0009693395955500734,5
2,100,2,-0.45673457730521777,-0.6582319895054627,0.002295978283284171,-0.0009693395955500786,5
2,100,2,-0.14894658896562588,0.0,-0.028644053610376478,1.4947773370167786e-18,5
1,100,2,0.6958667716623661,0.0,0.027959538927714092,8.913368142508726e-20,5
1,100,2,-0.18138369068970583,0.0,-0.021437891536667506,-2.0013622110357688e-17,5
1,100,2,0.3586136659270963,0.5407756396112916,-0.0015236901679062714,-0.0012773099977408144,5
1,100,2,0.3586136659270963,-0.5407756396112916,-0.0015236901679062636,0.0012773099977408102,5
100,100,1,0.9994336259148008,0.0,0.04175637802218679,0.0,5
100,100,1,0.20993816539740195,0.0,0.00696417073003029,0.0,5
100,100,1,-0.5485944328093201,0.0,-0.0042440095380110775,0.0,5
100,100,1,-0.7950381491855208,0.0,0.0050985542173336085,0.0,5
10,100,1,0.9952204892936392,0.0,0.040715261439388334,-1.2951137230824296e-20,5
10,100,1,-0.5670992274497088,0.7654439765267379,-0.0016409285946099373,-0.0006902331848120515,5
10,100,1,-0.5670992274497088,-0.7654439765267379,-0.001640928594609938,0.0006902331848120502,5
10,100,1,0.069983414347632,0.0,-0.01111555899936871,-2.6380549746364797e-18,5
7,100,1,0.990031470606353,0.0,0.04168636162173095,-3.7755051771057767e-19,5
