J,g0,g1,Re(p),Im(p),Re(a),Im(a),Count
100,100,100,1.0000000000000004,0.0,0.4999999999999963,-3.1485779052071663e-18,5
10,100,100,1.0000046816617683,0.0,0.12449260360783901,-2.3905949655886063e-19,5
10,100,100,0.3137031742085542,0.0,-0.00010920738406543923,1.488716916771413e-17,5
10,100,100,-0.8864234913732059,0.35280827008050186,2.1802529850936583e-06,-9.860651862544836e-06,5
10,100,100,-0.8864234913732059,-0.35280827008050186,2.1802529850841173e-06,9.860651862539198e-06,5
7,100,100,0.9999840753154164,0.0,0.12401092160858762,-7.016571530741769e-20,5
7,100,100,0.27090579137844645,0.9543344780339149,6.61645704050709e-06,1.8140228032850346e-05,5
7,100,100,0.27090579137844645,-0.9543344780339149,6.616457040514029e-06,-1.8140228032855008e-05,5
7,100,100,-0.30253879501882286,0.0,-6.635391106368099e-05,-2.544142860196005e-19,5
5,100,100,0.9999531716799549,0.0,0.12309834658598587,-1.1847851023899906e-19,5
5,100,100,0.7234946420721144,0.6531541887792786,-2.4472985329752027e-05,2.7682271029968227e-05,5
5,100,100,0.7234946420721144,-0.6531541887792786,-2.447298532975246e-05,-2.7682271029971263e-05,5
2,100,100,0.9999742519812028,0.0,0.1136655767422142,4.2084082636832885e-19,5
2,100,100,-0.8131888193184761,0.0,0.0009404161506547841,4.333136657286512e-18,5
2,100,100,-0.6350977371496058,0.5766974912639872,0.0004727501099752822,-0.0005477401874762814,5
2,100,100,-0.6350977371496058,-0.5766974912639872,0.0004727501099752638,0.0005477401874763065,5
1,100,100,0.9999659814035048,0.0,0.08916211074724761,-1.1329796395584765e-18,5
1,100,100,0.5905877288065849,0.0,-0.006576829330964113,4.25074596674637e-17,5
1,100,100,-0.6503414535103595,0.2240470391571879,-0.007253087777058377,0.003484817987040364,5
1,100,100,-0.6503414535103595,-0.2240470391571879,-0.007253087777058456,-0.003484817987040335,5
100,100,10,1.0000000000000004,0.0,0.12499999999999907,-7.871444763017916e-19,5
10,100,10,0.9995846762004467,0.0,0.12453061068970044,7.271436640083202e-20,5
10,100,10,-0.1047104868915815,0.0,-0.0003152817631460955,3.619856637304104e-18,5
7,100,10,0.9991893434180392,0.0,0.1239792173638697,2.6188683558901423e-19,5
7,100,10,-0.5538135858989012,0.0,-0.00013323547664213526,3.0333783448164106e-18,5
5,100,10,0.998417287633224,0.0,0.12299217790919166,-1.2014774445744706e-19,5
5,100,10,0.36621706352396916,0.0,0.0004384885392854608,1.857683410852985e-17,5
5,100,10,-0.2419699803946474,0.7024492730689701,-7.031867742403352e-05,-1.7112798325143522e-05,5
5,100,10,-0.2419699803946474,-0.7024492730689701,-7.031867742406453e-05,1.711279832517518e-05,5
2,100,10,0.9908697814500845,0.0,0.11366895445298959,1.9076386441169328e-18,5
2,100,10,-0.36427985469080126,0.5916178036514036,-0.0009440558121610054,0.0003105775122394266,5
2,100,10,-0.36427985469080126,-0.5916178036514036,-0.0009440558121609813,-0.000310577512239346,5
2,100,10,-0.8765020966617407,0.0,-0.00031970306045326377,-1.4718299714424877e-18,5
1,100,10,0.9718088599231176,0.0,0.08917017156809737,-2.294446934477064e-19,5
1,100,10,-0.15280346850609203,0.0,-0.035595826739721115,-1.2890296597301763e-17,5
1,100,10,0.40599881033112367,0.7632488811437025,0.0005977774768495458,0.0006395059301789427,5
1,100,10,0.40599881033112367,-0.7632488811437025,0.0005977774768495575,-0.0006395059301789474,5
100,100,7,1.0000000000000004,0.0,0.12499999999999907,-7.871444763017916e-19,5
10,100,7,0.9994258843840452,0.0,0.12450615535389001,-3.9318731487705297e-19,5
10,100,7,-0.7573235451032767,0.0,-1.2807690562901229e-05,6.645279424449121e-19,5
7,100,7,0.9988288914485012,0.0,0.12402730486015838,7.275498077934672e-19,5
7,100,7,-0.0008401702138439715,0.996635115716577,1.4147603347083475e-05,-6.760101646879901e-06,5
7,100,7,-0.0008401702138439715,-0.996635115716577,1.4147603347083542e-05,6.760101646885539e-06,5
7,100,7,-0.9310433955933483,0.0,-2.3188496968377416e-05,5.705665322181822e-19,5
5,100,7,0.9977378111282562,0.0,0.12305256481812213,2.275136572268928e-20,5
5,100,7,-0.401206897060039,0.0,-0.0003645707243114312,1.805802314046812e-18,5
5,100,7,0.5663634158615249,0.8043897538974815,1.2822806257839145e-05,2.163262426010948e-06,5
5,100,7,0.5663634158615249,-0.8043897538974815,1.2822806257839145e-05,-2.163262426015068e-06,5
2,100,7,0.987063977946848,0.0,0.11376850416775734,9.171295689935244e-19,5
2,100,7,-0.930461060918299,0.0,-0.00016633339172242453,3.565640147564328e-18,5
2,100,7,0.30123851716665384,0.4602422124136278,0.00108409533525234,-0.000279771437607307,5
2,100,7,0.30123851716665384,-0.4602422124136278,0.001084095335252421,0.0002797714376074076,5
1,100,7,0.9598450371134942,0.0,0.09025868393370447,1.8293134452350884e-18,5
1,100,7,-0.5370874002588074,0.0,-0.005106171664404071,1.992387755448829e-18,5
1,100,7,0.4277907374177517,0.4088808265161353,0.0031930509609201336,-0.0012543953641202187,5
1,100,7,0.4277907374177517,-0.4088808265161353,0.0031930509609201735,0.0012543953641202445,5
100,100,5,1.0000000000000004,0.0,0.12499999999999907,-7.871444763017916e-19,5
10,100,5,0.9992069084961245,0.0,0.1245135203170607,-1.580485297689097e-19,5
10,100,5,-0.0054409788746299734,0.0,-0.014313310145232183,3.0152171285373815e-17,5
7,100,5,0.9984015900561617,0.0,0.12399015966983318,-1.641369467975255e-19,5
7,100,5,0.51881744784262,0.0,0.00038270753465007024,5.967716320258135e-18,5
7,100,5,-0.6598145862445925,0.5024119377910642,6.137159487640351e-06,-1.9161859277631892e-05,5
7,100,5,-0.6598145862445925,-0.5024119377910642,6.13715948765553e-06,1.9161859277613027e-05,5
5,100,5,0.9968732779090864,0.0,0.12310420599700289,-1.213217689271636e-19,5
5,100,5,0.3252116642251366,0.89592714534265,7.006366661193534e-06,-4.91790009949822e-05,5
5,100,5,0.3252116642251366,-0.89592714534265,7.006366661195919e-06,4.917900099497222e-05,5
5,100,5,-0.44948794381681095,0.0,-0.00037240473464228993,6.322903861256967e-19,5
2,100,5,0.9823760757669695,0.0,0.11331789521207818,1.9163508719417652e-19,5
2,100,5,0.6998995505429667,0.0,0.002045722635657306,-8.586866744288277e-19,5
2,100,5,-0.9566040838707783,0.27374242240206276,3.5294126663155175e-05,8.893890373709535e-05,5
2,100,5,-0.9566040838707783,-0.27374242240206276,3.529412666315778e-05,-8.893890373708841e-05,5
1,100,5,0.9459866565850756,0.0,0.08943435389586604,-7.459643482737495e-18,5
1,100,5,-0.015698484348538835,0.0,-0.36821664513306757,-3.948590892846341e-15,5
1,100,5,0.027854754770423866,0.9107291707198949,-6.0480878648970764e-05,0.00046608124881989966,5
1,100,5,0.027854754770423866,-0.9107291707198949,-6.048087864901104e-05,-0.0004660812488198194,5
100,100,2,1.0000000000000004,0.0,0.12499999999999907,-7.871444763017916e-19,5
10,100,2,-0.7245205284602794,0.6715210712786798,4.572974438084038e-06,-2.4212491323200892e-05,5
10,100,2,-0.7245205284602794,-0.6715210712786798,4.572974438073196e-06,2.4212491323149935e-05,5
10,100,2,0.998154402508402,0.0,0.12465229665330695,5.8395627358454605e-18,5
10,100,2,0.9649588834406302,0.0,1.8748089579426197e-05,-1.5682207151583453e-17,5
7,100,2,0.9962830434882055,0.0,0.12428363158489864,-4.2081890039984294e-20,5
7,100,2,-0.0948050917213775,1.0232209564184116,2.183227383809375e-05,3.02003753941283e-06,5
7,100,2,-0.0948050917213775,-1.0232209564184116,2.1832273838090716e-05,-3.0200375394149985e-06,5
5,100,2,0.9928128499670746,0.0,0.12349602217383332,-1.6620495470806106e-19,5
5,100,2,0.42220727173573563,0.0,0.0009223740899184478,1.533061862282732e-17,5
5,100,2,0.4461364404976934,0.8604427602903599,4.872817401884539e-05,-2.6132280807031815e-05,5
5,100,2,0.4461364404976934,-0.8604427602903599,4.8728174018858404e-05,2.6132280807037887e-05,5
2,100,2,0.9588543202734485,0.0,0.11611966382685618,2.6938357098114516e-19,5
2,100,2,0.11203183653149323,0.0,0.029637922032856076,-4.247570320407751e-17,5
2,100,2,-0.7710576464398529,0.4742022781952309,0.0005073048272737127,2.7873468104673857e-05,5
2,100,2,-0.7710576464398529,-0.4742022781952309,0.0005073048272737009,-2.7873468104674183e-05,5
1,100,2,0.8782146693314073,0.0,0.09350642270084206,9.684085081157254e-19,5
1,100,2,0.1380662480628046,0.0,0.031293061717902235,-2.4106241445925723e-17,5
1,100,2,-0.45271947429263004,0.7012365764425236,-0.0008965986073396161,-0.0013239428925078637,5
1,100,2,-0.45271947429263004,-0.7012365764425236,-0.0008965986073396162,0.0013239428925078437,5
100,100,1,1.0000000000000004,0.0,0.12499999999999907,-7.871444763017916e-19,5
10,100,1,0.9971076467430214,0.0,0.12488225672706801,3.996622622823928e-20,5
10,100,1,0.03312974474032168,1.0286368527120382,-4.273602374297528e-06,-1.7142303333418218e-05,5
10,100,1,0.03312974474032168,-1.0286368527120382,-4.273602374297962e-06,1.714230333341735e-05,5
10,100,1,-0.9141390839274804,0.0,2.0562204203122955e-05,1.1690777696600148e-19,5
7,100,1,0.9941769235422785,0.0,0.12466628548040469,6.964533517974299e-20,5
7,100,1,0.3848678530645422,0.9925104016190486,-1.649530064273732e-05,-8.418176954371457e-06,5
7,100,1,0.3848678530645422,-0.9925104016190486,-1.649530064273667e-05,8.418176954371782e-06,5
7,100,1,-0.3933668174036922,0.0,-0.00011395342903883785,-1.1804934299879045e-20,5
5,100,1,0.9886218097681287,0.0,0.12440821577663269,7.531327651980954e-19,5
5,100,1,0.47638716158942523,0.8072196409931829,2.973213404605722e-05,-0.00012048494470034412,5
5,100,1,0.47638716158942523,-0.8072196409931829,2.9732134046066326e-05,0.0001204849447003567,5
5,100,1,-0.43467153048959145,0.0,-5.623837560320968e-05,3.7238866060560135e-19,5
2,100,1,0.9350108343296246,0.0,0.12049554286875079,-9.430772446435668e-19,5
2,100,1,-0.30761760793344,0.0,-0.00483647615160566,3.893739143219712e-18,5
2,100,1,0.6573563345682344,0.6026293279248259,-0.0003044754259406611,-0.0004765565019959548,5
2,100,1,0.6573563345682344,-0.6026293279248259,-0.00030447542594067413,0.0004765565019959636,5
1,100,1,0.8027813429758552,0.0,0.10657947172161084,5.872832685600433e-18,5
1,100,1,0.16188598427519832,0.0,0.04203028459591928,-7.572763034444344e-17,5
1,100,1,0.4507200411314578,0.6239689497905814,0.000893843226009177,0.0021116106186331676,5
1,100,1,0.4507200411314578,-0.6239689497905814,0.0008938432260091875,-0.0021116106186331502,5
100,10,100,0.9522657863204662,0.0,0.12505693917477836,2.7630288929563016e-19,5
100,10,100,-0.8675650777451123,0.0,-0.0005894072296157613,2.428805201992243e-18,5
100,10,100,-0.3616695631657535,0.8276556895118087,0.0002540747721468953,0.00016093498471285282,5
100,10,100,-0.3616695631657535,-0.8276556895118087,0.000254074772146897,-0.00016093498471284311,5
10,10,100,0.9525621450475228,0.0,0.12445972179523909,-1.854774856524607e-19,5
10,10,100,-0.3951343774815511,0.836197519704881,-0.0001534212979515693,5.444844492872306e-05,5
10,10,100,-0.3951343774815511,-0.836197519704881,-0.0001534212979515937,-5.4448444928726475e-05,5
10,10,100,-1.004137059264688,0.0,7.480703179882494e-05,-1.0336837030662741e-19,5
7,10,100,0.9518613922573064,0.0,0.12485059222601258,-3.547275666507631e-19,5
7,10,100,0.6608824067022877,0.0,-0.001157268265055092,6.703640199254475e-18,5
7,10,100,0.4237642613276772,0.8170278579055027,-0.00030306896225934326,3.990474906066544e-05,5
7,10,100,0.4237642613276772,-0.8170278579055027,-0.0003030689622593374,-3.990474906066262e-05,5
5,10,100,0.953357794393441,0.0,0.12055273966928381,3.867193138905405e-19,5
5,10,100,0.830067534590763,0.0,0.0031219256804445273,-3.2250218732819377e-19,5
5,10,100,-0.904112995446371,0.32244206060270497,-0.00010419302296933502,-4.467247162408277e-05,5
5,10,100,-0.904112995446371,-0.32244206060270497,-0.00010419302296932971,4.4672471624089495e-05,5
2,10,100,-0.12187074270139031,0.0,-0.0036986444855263492,-4.078580212784127e-17,5
2,10,100,0.9524250556656493,0.0,0.1135752696023757,-2.176548787930452e-17,5
2,10,100,0.8982131694612825,0.4189937395336693,0.0002788113195933918,-6.640842676007181e-05,5
2,10,100,0.8982131694612825,-0.4189937395336693,0.0002788113195933775,6.640842676008215e-05,5
1,10,100,0.9527198814968463,0.0,0.08849499992113381,1.458914044897874e-19,5
1,10,100,0.24254384486595204,0.6853235812049122,0.0017349137307421797,-0.002206488228593008,5
1,10,100,0.24254384486595204,-0.6853235812049122,0.001734913730742173,0.0022064882285930186,5
1,10,100,-0.8931426137754335,0.0,0.000268653378117448,1.7760621035512132e-18,5
100,10,10,-0.801906136087436,0.0,-0.0002442856379297844,1.6174421352619017e-18,5
100,10,10,0.9523232317847385,0.0,0.1254020824973318,9.552735973689555e-18,5
100,10,10,0.8892968405604185,0.42472915042639,-0.00026599346319606317,-2.0066223328277753e-05,5
100,10,10,0.8892968405604185,-0.42472915042639,-0.00026599346319608084,2.0066223328278133e-05,5
10,10,10,0.9524293492115204,0.0,0.12389417649828086,4.339962020183172e-19,5
