J,g0,g1,Re(p),Im(p),Re(a),Im(a),Count
0,0,0,1.0000000000000004,0.0,0.4999999999999963,-3.1485779052071663e-18,5
1,0,0,1.0000006162298152,0.0,0.4979841166543843,2.2348687332520198e-18,5
1,0,0,-0.26606351850050647,0.6585425889294537,0.00015603942914546066,4.5405909617829074e-05,5
1,0,0,-0.26606351850050647,-0.6585425889294537,0.000156039429145478,-4.540590961767989e-05,5
1,0,0,-0.3163936447487008,0.0,-0.00011625766396108905,1.0052251800486808e-17,5
2,0,0,0.9999872813274889,0.0,0.492054171035069,-1.4850018805853436e-18,5
2,0,0,-0.7847748139382585,0.4821038105291574,-4.7365405642556604e-05,1.9871498871544958e-05,5
2,0,0,-0.7847748139382585,-0.4821038105291574,-4.736540564256528e-05,-1.987149887153184e-05,5
2,0,0,0.05254798122559265,0.0,0.007503105037315869,-2.334710894365919e-19,5
5,0,0,1.000036036606939,0.0,0.45396805080323505,1.382725787627952e-18,5
5,0,0,0.31817065642511966,0.606451346039621,0.0023816576450139716,-0.0007689988272580172,5
5,0,0,0.31817065642511966,-0.606451346039621,0.002381657645014008,0.0007689988272578888,5
5,0,0,-0.8178345033753915,0.0,0.0012885628022277214,7.251002514744262e-18,5
10,0,0,1.0000570520763252,0.0,0.35486425517528636,-2.6192298020536913e-18,5
10,0,0,0.2529819452294354,0.4378002753430565,0.022775945457562032,0.007212015803408373,5
10,0,0,0.2529819452294354,-0.4378002753430565,0.022775945457561942,-0.0072120158034086786,5
10,0,0,-0.672125271517732,0.0,-0.003485438442750958,2.6565244053211446e-18,5
20,0,0,1.0005736273795764,0.0,0.189417712863794,2.1660718141527733e-18,5
20,0,0,0.6700326178758907,0.46556090149637497,0.15640756502000863,-0.0029261170199827696,5
20,0,0,0.6700326178758907,-0.46556090149637497,0.15640756502000872,0.002926117019982812,5
20,0,0,-1.0079691531076622,0.0,-0.0018041238028138852,-1.2104785008424728e-17,5
0,0,0.5,1.0000000000000004,0.0,0.4999999999999963,-3.1485779052071663e-18,5
1,0,0.5,0.9997987159243674,0.0,0.4979934266154604,-5.988637910323829e-19,5
1,0,0.5,0.05475114729195704,0.9300406340457451,-1.299290391027462e-05,-4.021086319754668e-05,5
1,0,0.5,0.05475114729195704,-0.9300406340457451,-1.2992903910321457e-05,4.021086319753653e-05,5
1,0,0.5,0.34579023028059364,0.0,6.121600690658924e-05,4.553216563802041e-19,5
2,0,0.5,-0.04464776725694311,0.774131055185979,0.00013830240719919958,-0.0002353252896106113,5
2,0,0.5,-0.04464776725694311,-0.774131055185979,0.00013830240719881273,0.00023532528960957914,5
2,0,0.5,0.9991868027196491,0.0,0.49223910701393325,9.84900859433871e-17,5
2,0,0.5,0.9303872423337924,0.0,1.8307707694426023e-05,-1.818129189163069e-16,5
5,0,0.5,0.9953453887927909,0.0,0.45485312601389466,-4.396039733940748e-18,5
5,0,0.5,-0.6293020021998817,0.4498654720766781,-0.0009819910599737224,-0.002299420694320181,5
5,0,0.5,-0.6293020021998817,-0.4498654720766781,-0.0009819910599737714,0.002299420694319961,5
5,0,0.5,-0.4823541562729054,0.0,0.0035813595934231987,1.0047469813877364e-17,5
